metric,value,old_lad_code,new_lad_code,lsoa_code,csp_code
assigned_lsoa,36,,,E01000507,E22000189
assigned_lsoa,112,,,E01000508,E22000189
assigned_lsoa,49,,,E01000509,E22000189
assigned_lsoa,55,,,E01000510,E22000189
assigned_lsoa,30,,,E01000511,E22000189
assigned_lsoa,29,,,E01000512,E22000189
assigned_lsoa,27,,,E01000513,E22000189
assigned_lsoa,31,,,E01000514,E22000189
assigned_lsoa,48,,,E01000515,E22000189
assigned_lsoa,9,,,E01000516,E22000189
assigned_lsoa,79,,,E01000517,E22000189
assigned_lsoa,18,,,E01000518,E22000189
assigned_lsoa,17,,,E01000519,E22000189
assigned_lsoa,18,,,E01000520,E22000189
assigned_lsoa,218,,,E01000521,E22000189
assigned_lsoa,68,,,E01000522,E22000189
assigned_lsoa,207,,,E01000523,E22000189
assigned_lsoa,297,,,E01000524,E22000189
assigned_lsoa,65,,,E01000525,E22000189
assigned_lsoa,80,,,E01000526,E22000189
assigned_lsoa,64,,,E01000527,E22000189
assigned_lsoa,43,,,E01000528,E22000189
assigned_lsoa,13,,,E01000530,E22000189
assigned_lsoa,53,,,E01000531,E22000189
assigned_lsoa,74,,,E01000532,E22000189
assigned_lsoa,71,,,E01000533,E22000189
assigned_lsoa,8,,,E01000534,E22000189
assigned_lsoa,34,,,E01000535,E22000189
assigned_lsoa,36,,,E01000536,E22000189
assigned_lsoa,16,,,E01000538,E22000189
assigned_lsoa,11,,,E01000539,E22000189
assigned_lsoa,11,,,E01000540,E22000189
assigned_lsoa,69,,,E01000541,E22000189
assigned_lsoa,17,,,E01000543,E22000189
assigned_lsoa,138,,,E01000544,E22000189
assigned_lsoa,66,,,E01000545,E22000189
assigned_lsoa,37,,,E01000546,E22000189
assigned_lsoa,103,,,E01000547,E22000189
assigned_lsoa,246,,,E01000548,E22000189
assigned_lsoa,114,,,E01000549,E22000189
assigned_lsoa,132,,,E01000550,E22000189
assigned_lsoa,103,,,E01000551,E22000189
assigned_lsoa,70,,,E01000552,E22000189
assigned_lsoa,112,,,E01000553,E22000189
assigned_lsoa,61,,,E01000554,E22000189
assigned_lsoa,24,,,E01000555,E22000189
assigned_lsoa,85,,,E01000556,E22000189
assigned_lsoa,12,,,E01000557,E22000189
assigned_lsoa,28,,,E01000558,E22000189
assigned_lsoa,94,,,E01000559,E22000189
assigned_lsoa,40,,,E01000560,E22000189
assigned_lsoa,55,,,E01000561,E22000189
assigned_lsoa,10,,,E01000562,E22000189
assigned_lsoa,18,,,E01000563,E22000189
assigned_lsoa,14,,,E01000564,E22000189
assigned_lsoa,8,,,E01000565,E22000189
assigned_lsoa,6,,,E01000566,E22000189
assigned_lsoa,8,,,E01000567,E22000189
assigned_lsoa,102,,,E01000568,E22000189
assigned_lsoa,10,,,E01000569,E22000189
assigned_lsoa,21,,,E01000570,E22000189
assigned_lsoa,40,,,E01000571,E22000189
assigned_lsoa,28,,,E01000572,E22000189
assigned_lsoa,18,,,E01000573,E22000189
assigned_lsoa,23,,,E01000574,E22000189
assigned_lsoa,30,,,E01000575,E22000189
assigned_lsoa,33,,,E01000576,E22000189
assigned_lsoa,49,,,E01000577,E22000189
assigned_lsoa,49,,,E01000578,E22000189
assigned_lsoa,10,,,E01000579,E22000189
assigned_lsoa,75,,,E01000580,E22000189
assigned_lsoa,23,,,E01000581,E22000189
assigned_lsoa,23,,,E01000582,E22000189
assigned_lsoa,69,,,E01000583,E22000189
assigned_lsoa,16,,,E01000584,E22000189
assigned_lsoa,18,,,E01000585,E22000189
assigned_lsoa,98,,,E01000586,E22000189
assigned_lsoa,17,,,E01000587,E22000189
assigned_lsoa,37,,,E01000589,E22000189
assigned_lsoa,14,,,E01000590,E22000189
assigned_lsoa,70,,,E01000591,E22000189
assigned_lsoa,48,,,E01000592,E22000189
assigned_lsoa,40,,,E01000593,E22000189
assigned_lsoa,91,,,E01000594,E22000189
assigned_lsoa,59,,,E01000595,E22000189
assigned_lsoa,37,,,E01000596,E22000189
assigned_lsoa,44,,,E01000599,E22000189
assigned_lsoa,148,,,E01000601,E22000189
assigned_lsoa,52,,,E01000602,E22000189
assigned_lsoa,51,,,E01000603,E22000189
assigned_lsoa,15,,,E01000604,E22000189
assigned_lsoa,34,,,E01000605,E22000189
assigned_lsoa,35,,,E01000606,E22000189
assigned_lsoa,56,,,E01000607,E22000189
assigned_lsoa,106,,,E01000608,E22000189
assigned_lsoa,32,,,E01000609,E22000189
assigned_lsoa,41,,,E01000610,E22000189
assigned_lsoa,24,,,E01000611,E22000189
assigned_lsoa,8,,,E01000612,E22000189
assigned_lsoa,27,,,E01000613,E22000189
assigned_lsoa,138,,,E01000615,E22000189
assigned_lsoa,28,,,E01000616,E22000189
assigned_lsoa,70,,,E01000617,E22000189
assigned_lsoa,18,,,E01000618,E22000189
assigned_lsoa,9,,,E01000619,E22000189
assigned_lsoa,29,,,E01000620,E22000189
assigned_lsoa,37,,,E01000621,E22000189
assigned_lsoa,35,,,E01000622,E22000189
assigned_lsoa,16,,,E01000623,E22000189
assigned_lsoa,20,,,E01000624,E22000189
assigned_lsoa,15,,,E01000625,E22000189
