Location,Country,Local authority,Latitude,Longitude,Violence/sexual indicator,ASB indicator,Crime geography,Safety score,Safety confidence,Buy all-flat achieved median,Buy transactions,Buy confidence,Buy affordability score,Rent one-bed modelled average pcm,Rent confidence,Rent affordability score,One-bed buy count,One-bed rent count,Tower signal,Buy market score,Rent market score,Buy stock score,Rent stock score,Local transport score,Local transport confidence,London minutes,London changes,Birmingham minutes,Birmingham changes,National transport score,National confidence,Quiet score,Quiet confidence,Condition score,Condition confidence,Buy screen /100,Rent screen /100,Buy priority /75,Rent priority /75,Serious priority weaknesses,Buy confidence /3,Rent confidence /3,Buy unknowns,Rent unknowns,Buy rank,Rent rank,Shortlist,Qualified via
Swindon,England,Swindon,51.561532,-1.785458,2502,1707,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,148500,906,High,1,816,Medium,1,87,121,Unclear,4,4,3.5,3.5,4,Medium,55,0,95,1,5,Medium,2,Medium,3,Low,56.5,56.5,36,36,0,2,1.8571428571428572,0,0,59,56,Not proposed,
Telford,England,Telford and Wrekin,52.675404,-2.448752,1223,438,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,5,Medium,113500,180,High,3,600,Medium,3,31,22,Unclear,3,2,2.5,1.5,3,High,125,1,40,0,4,Medium,3,Medium,3,Low,66.5,63.5,51,51,0,2.142857142857143,2,0,0,11,33,Proposed,Buy
Torbay,England,Torbay,50.468826,-3.531407,2517,940,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,3,Medium,148000,936,High,1,617,Medium,3,165,51,Unclear,4,3,3.5,2.5,3,Medium,180,1,195,1,3,Low,4,Medium,4,Medium,61.5,64.5,45,51,0,2,1.8571428571428572,0,0,41,29,Not proposed,
Wakefield,England,Wakefield,53.683704,-1.498169,2844,612,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,116000,273,High,3,572,Medium,5,46,46,Unclear,3,3,2.5,2.5,4,High,120,0,110,1,4,Medium,2,Medium,3,Low,63.5,69.5,48,54,0,2.142857142857143,2,0,0,27,7,Proposed,Rent
Walsall,England,Walsall,52.586221,-1.980341,3067,263,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,119975,404,High,3,648,Medium,3,36,44,Unclear,3,3,2.5,2.5,4,High,115,1,25,0,5,Medium,2,Medium,2,Low,62.5,62.5,45,45,0,2.142857142857143,2,0,0,35,38,Not proposed,
Warrington,England,Warrington,53.38957,-2.590897,2355,452,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,123250,498,High,3,670,Medium,3,56,40,Unclear,3,3,2.5,2.5,4,Medium,105,0,70,0,5,Medium,2,Medium,3,Low,65.5,65.5,48,48,0,2,1.8571428571428572,0,0,20,25,Not proposed,
Wigan,England,Wigan,53.545539,-2.629695,,,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,,Low,103750,200,High,5,541,Medium,5,15,23,Unclear,2,2,1.5,1.5,4,High,120,0,85,0,4,Medium,3,Medium,3,Low,67.6470588235294,67.6470588235294,56.25,56.25,0,2,1.8571428571428572,1,1,8,10,Proposed,Both
Wolverhampton,England,Wolverhampton,52.586205,-2.129916,3338,346,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,117500,462,High,3,671,Medium,3,51,94,Unclear,3,4,2.5,3.5,4,High,105,0,20,0,5,Medium,2,Medium,2,Low,62.5,65.5,45,45,0,2.142857142857143,2,0,0,36,26,Not proposed,
Worcester,England,Worcester,52.192932,-2.221088,2289,935,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,145500,466,High,1,709,Medium,1,52,52,Unclear,3,3,2.5,2.5,3,Medium,125,0,45,0,4,Low,4,Medium,5,Medium,66.5,66.5,51,51,0,2,1.8571428571428572,0,0,12,14,Proposed,Buy
Wrexham,Wales,Wrexham,53.047921,-2.994781,2095,936,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,112500,186,High,3,594,Medium,3,3,11,Unclear,1,2,1,1.5,3,High,140,1,75,1,4,Medium,3,Medium,3,Low,59,60.5,48,48,0,2.142857142857143,2,0,0,49,46,Not proposed,
